timeSpread,TOF,spatialSpread,E1,E2
94.6000000113,180.567,1.4,0.82,1.87
98.5000000071,176.372,1.4,0.86,1.96
104.899999997,177.305,1.3,0.85,1.94
110.199999995,184.023,1.4,0.79,1.8
117.100000011,179.549,1.5,0.83,1.89
119.699999999,175.425,1.4,0.87,1.98
120.900000013,181.602,1.4,0.81,1.85
124.700000015,169.576,1.3,0.93,2.12
127.00000002,173.324,1.4,0.89,2.03
128.200000006,174.488,1.5,0.88,2
130.800000022,170.431,1.3,0.92,2.1
132.899999983,168.734,1.4,0.94,2.14
135.300000011,174.241,1.3,0.88,2.01
136.399999974,182.943,1.5,0.8,1.82
136.699999985,171.535,1.5,0.91,2.07
138.399999997,166.082,1.4,0.97,2.21
139.799999999,178.579,1.6,0.84,1.91
141.899999988,178.281,1.4,0.84,1.92
148.4,188.84,1.5,0.75,1.71
148.700000011,166.863,1.3,0.96,2.19
149.800000003,175.142,1.3,0.87,1.99
150.300000001,162.777,1.4,1.01,2.3
152.799999995,165.054,1.3,0.98,2.24
153.300000022,165.29,1.4,0.98,2.23
153.799999993,186.236,1.3,0.77,1.76
153.999999981,176.086,1.2,0.86,1.97
154.500000008,167.929,1.4,0.95,2.16
154.999999978,172.424,1.4,0.9,2.05
155.90000001,182.659,1.3,0.8,1.83
156.099999998,172.184,1.3,0.9,2.06
157.5,173.567,1.6,0.89,2.02
158.699999986,170.665,1.5,0.92,2.09
159.199999985,179.28,1.4,0.83,1.9
161.300000002,169.832,1.5,0.93,2.11
161.600000013,167.681,1.3,0.95,2.17
165.699999997,162.576,1.3,1.01,2.31
165.700000025,167.106,1.5,0.96,2.18
166.299999989,162.03,1.4,1.02,2.32
166.699999994,171.302,1.3,0.91,2.08
166.899999982,163.534,1.4,1,2.28
167.099999999,185.118,1.3,0.78,1.78
167.500000003,168.51,1.3,0.94,2.15
167.800000014,169.35,1.2,0.93,2.13
168.699999989,163.737,1.5,1,2.27
169.099999994,160.372,1.4,1.04,2.37
170.499999996,159.656,1.4,1.05,2.39
171.300000005,164.301,1.4,0.99,2.26
173.000000018,189.984,1.4,0.74,1.69
174.10000001,161.098,1.3,1.03,2.35
175.100000007,165.843,1.3,0.97,2.22
175.899999988,172.661,1.6,0.9,2.04
175.900000016,162.978,1.6,1.01,2.29
176.099999976,164.508,1.5,0.99,2.25
176.600000003,177.598,1.5,0.85,1.93
177.799999989,168.985,1.6,0.94,2.13
179.300000013,161.293,1.5,1.03,2.34
179.599999996,166.297,1.6,0.97,2.2
180,181.882,1.6,0.81,1.84
180.199999988,161.833,1.3,1.02,2.33
183.100000015,175.677,1.7,0.87,1.97
183.700000008,187.677,1.4,0.76,1.73
184.8,157.409,1.4,1.08,2.46
185.099999982,173.052,1.3,0.89,2.04
187.000000011,159.467,1.3,1.05,2.4
191.199999989,156.735,1.4,1.09,2.48
191.599999994,177.047,1.2,0.85,1.95
193.499999995,183.733,1.3,0.79,1.81
196.200000005,187.336,1.4,0.76,1.74
197.299999996,168.149,1.7,0.95,2.15
197.799999995,171.801,1.7,0.91,2.06
201.699999991,160.181,1.3,1.04,2.38
202.000000002,160.589,1.6,1.04,2.36
202.19999999,156.067,1.4,1.1,2.5
203.900000002,158.975,1.5,1.06,2.41
204.200000013,166.647,1.3,0.96,2.2
206.700000007,185.415,1.6,0.78,1.77
206.800000001,158.071,1.4,1.07,2.44
206.999999989,157.205,1.2,1.08,2.47
207.3,191.194,1.3,0.73,1.67
207.499999988,158.766,1.4,1.06,2.42
208.40000002,181.325,1.3,0.81,1.86
208.599999979,162.252,1.7,1.02,2.31
209.2,176.627,1.6,0.86,1.95
211.799999988,165.501,1.7,0.98,2.22
211.800000017,156.534,1.3,1.09,2.49
212.299999987,180.875,1.7,0.82,1.86
212.999999974,158.278,1.6,1.07,2.43
213.599999995,179.852,1.7,0.83,1.88
214,154.585,1.4,1.12,2.55
214.100000022,178.025,1.2,0.84,1.93
214.200000016,159.87,1.6,1.05,2.38
215.499999996,163.306,1.3,1,2.29
217.499999991,170.202,1.2,0.92,2.11
217.800000001,164.716,1.7,0.99,2.24
218.200000006,170.924,1.8,0.92,2.08
218.899999993,161.514,1.7,1.03,2.33
221.399999987,174.736,1.8,0.88,1.99
221.799999991,153.943,1.4,1.13,2.57
223.299999988,155.235,1.3,1.11,2.53
223.500000004,167.324,1.8,0.96,2.17
223.599999998,155.891,1.3,1.1,2.51
227.899999999,157.593,1.6,1.08,2.45
228.800000002,160.904,1.3,1.03,2.36
229.200000007,156.915,1.6,1.09,2.47
229.399999995,153.143,1.3,1.14,2.6
229.699999977,155.409,1.5,1.11,2.52
230.700000003,180.295,1.4,0.82,1.88
231.800000023,173.965,1.3,0.88,2.02
233.000000009,156.245,1.7,1.1,2.49
233.600000001,164.07,1.3,0.99,2.27
234.199999994,153.774,1.3,1.13,2.58
234.500000005,154.413,1.3,1.12,2.56
234.800000015,155.693,1.2,1.1,2.52
235.700000019,160.782,1.9,1.04,2.35
236.300000012,188.489,1.3,0.75,1.72
236.999999998,167.462,1.2,0.95,2.18
237.499999997,163.967,1.8,1,2.26
237.999999996,184.79,1.3,0.78,1.79
241.100000011,152.521,1.3,1.15,2.62
241.100000011,151.32,1.4,1.17,2.66
241.700000004,157.773,1.8,1.08,2.44
241.799999998,151.907,1.4,1.16,2.64
243.700000027,157.888,1.3,1.07,2.45
244.400000014,151.139,1.2,1.17,2.67
244.800000019,151.743,1.2,1.16,2.65
245.500000005,194.024,1.3,0.71,1.62
245.6,159.163,1.7,1.06,2.4
246.099999998,154.757,1.5,1.12,2.54
247.599999994,170.061,1.9,0.93,2.1
247.999999999,192.76,1.4,0.72,1.64
248.599999992,166.511,1.9,0.97,2.19
252.199999977,150.541,1.3,1.18,2.69
252.700000004,163.205,1.9,1.01,2.28
253.000000015,149.968,1.3,1.19,2.71
253.099999981,152.977,1.2,1.14,2.61
253.199999975,169.211,1.9,0.94,2.12
253.799999996,153.312,1.5,1.14,2.59
254.100000006,186.537,1.5,0.77,1.75
254.200000001,155.039,1.2,1.11,2.54
254.399999989,150.718,1.4,1.18,2.68
255.400000015,192.428,1.3,0.72,1.65
256.699999994,162.352,1.2,1.01,2.32
257.000000005,165.74,2,0.98,2.21
257.099999999,184.313,1.7,0.79,1.79
257.200000021,152.356,1.3,1.15,2.63
257.89999998,159.279,1.3,1.05,2.41
257.900000008,160.06,2,1.05,2.37
258.800000012,158.464,1.8,1.07,2.42
259.599999993,162.453,2,1.02,2.3
260.499999996,190.349,1.6,0.74,1.68
260.499999996,171.04,1.3,0.91,2.09
260.800000007,161.611,1.3,1.02,2.34
261.000000023,185.898,1.2,0.77,1.77
263.600000011,149.382,1.4,1.2,2.73
263.799999999,157.118,1.9,1.09,2.46
